	tk	hk	is
icho	0.4799999999999999	0.2608695652173913	0.0
kaede	0.0	0.0	0.0
sonota	0.46428571428571425	0.45614035087719296	0.6060606060606061
koyo	0.43333333333333335	0.45614035087719296	0.6060606060606061
