,rate,fscore,recall,precision
0,10.0,0.5714285714285715,1.0,0.4
1,20.0,0.5581395348837209,1.0,0.3870967741935484
2,30.0,0.5581395348837209,1.0,0.3870967741935484
3,40.0,0.5714285714285715,1.0,0.4
4,50.0,0.5333333333333333,1.0,0.36363636363636365
5,60.0,0.5333333333333333,1.0,0.36363636363636365
6,70.0,0.5581395348837209,1.0,0.3870967741935484
7,80.0,0.5217391304347826,1.0,0.35294117647058826
8,90.0,0.5217391304347826,1.0,0.35294117647058826
9,100.0,0.5217391304347826,1.0,0.35294117647058826
